breed_name,species,alt_names,origin_country,height,weight,life_span,personality_traits,description,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,hypoallergenic,wikipedia_url,senior_friendly,urban_friendly,family_compatibility_score,social_environment_score,child_friendly_norm,stranger_friendly_norm,dog_friendly_norm,energy_level_norm,vocalisation_norm,affection_level_norm,intelligence_norm,adaptability_norm,senior_friendly_norm,urban_friendly_norm,senior_friendly_label,urban_friendly_label,family_compatibility_label,social_environment_label,breed_cluster,recommendation,recommendation_confidence,multi_cluster_membership,persona_match,persona_explainability_text,heat_tolerance,cold_tolerance,humidity_tolerance,all_weather_adaptability,recommended_climate_types,dietary_sensitivity_level,common_food_allergies,digestion_robustness,obesity_prone,recommended_diet_type,climate_data_source,diet_data_source,guardian_note,Avg monthly_food_cost_inr,Avg exercise_minutes_daily,Avg grooming_hours_monthly,Avg social_interaction_hours_daily,Avg total_daily_time_hours,Avg professional_grooming_cost_monthly,Avg vet_cost_monthly_avg,Avg total_monthly_cost_inr
Braque du Bourbonnais,Dog,Bourbonnais Pointer,France,48-57 cm,16-25 kg,12-15 years,"Affectionate, Intelligent, Calm, Gentle, Sociable",A French pointing dog with distinctive ticked coat.,2.2,5,4,4,5,4,4,4,2,4.33,4,3,0,https://en.wikipedia.org/wiki/Braque_du_Bourbonnais,2.8,3.2,73,71.6,0.75,0.75,0.75,1,0.5,1,0.75,0.3,0.405405405,0.461538462,Moderate,Good,Good,Good,Active / Outdoor Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,4800,120,3,6,8.5,200,800,6400
Briard,Dog,Berger de Brie,France,56-69 cm,27-41 kg,12-14 years,"Intelligent, Loyal, Obedient, Fearless, Faithful",A large French herding dog with long wavy coat.,3.4,4,5,5,4,1,3,4,1,4.67,2,4,0,https://en.wikipedia.org/wiki/Briard,2.6,2.5,71,64.2,1,0.25,1,0.75,0.75,0.75,0.75,0.6,0.351351351,0.192307692,Moderate,Moderate,Good,Good,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,80,"Family Dog, Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.,8000,75,9.5,6,8,6400,1200,17200
Brittany,Dog,Brittany Spaniel,France,44-52 cm,13-18 kg,12-15 years,"Happy, Intelligent, Agile, Adaptable, Quick","A French gun dog, smallest of pointing breeds.",2.8,5,5,5,5,3,4,5,3,5,4,3,0,https://en.wikipedia.org/wiki/Brittany_(dog),2.8,3.4,80,81.4,1,0.75,1,1,0.5,1,1,0.45,0.405405405,0.538461538,Moderate,Good,Excellent,Excellent,Family Dog,Best for families with children; Great for active owners,90,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,3700,120,5.5,6,8.5,700,800,5700
Broholmer,Dog,Danish Mastiff,Denmark,70-75 cm,41-70 kg,7-11 years,"Friendly, Calm, Confident, Devoted, Good-natured",A large Danish mastiff used for guarding estates.,3,5,4,3,3,4,4,4,3,4,3,3,0,https://en.wikipedia.org/wiki/Broholmer,3.6,3.2,77,64,0.75,0.5,0.5,0.5,0.5,1,0.75,0.5,0.621621622,0.461538462,Good,Good,Good,Good,Family Dog,Best for general companionship,64,Family Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,3,"Soy, corn",3,Medium,"Large-breed formula, Joint support, Controlled growth",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. ?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",13100,45,3,6,7.5,200,800,15500
Brussels Griffon,Dog,Griffon Bruxellois,Belgium,18-28 cm,3-5 kg,12-15 years,"Alert, Curious, Sensitive, Companionable, Inquisitive",A small Belgian toy dog with human-like expression.,2.8,5,4,4,5,3,3,4,3,4.33,3,4,0,https://en.wikipedia.org/wiki/Griffon_Bruxellois,2.5,2.6,69,64.4,0.75,0.5,0.75,1,0.75,1,0.75,0.45,0.324324324,0.230769231,Moderate,Moderate,Good,Good,Balanced / General Companion,Great for active owners,100,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,Needs large open space; not ideal for small flats.,900,120,5.5,6,8.5,600,1200,3000
Bugg,Dog,,United States,25-38 cm,7-11 kg,10-15 years,"Friendly, Playful, Affectionate, Social, Alert",A cross between Boston Terrier and Pug.,3.2,4,3,2,4,4,4,4,2,3,3,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.6,2.8,61,57.6,0.5,0.5,0.25,0.75,0.75,0.75,0.75,0.55,0.351351351,0.307692308,Moderate,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners,80,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",2100,75,3,4.5,6.5,200,800,3400
Bull Arab,Dog,Australian Pig Dog,Australia,61-69 cm,27-45 kg,12-15 years,"Loyal, Intelligent, Courageous, Alert, Calm",An Australian pig-hunting dog with strong prey drive.,2.4,3,3,1,4,4,4,4,2,2.33,2,2,0,https://en.wikipedia.org/wiki/Bull_Arab,2.9,3,52,51.2,0.5,0.25,0,0.75,0.25,0.5,0.75,0.35,0.432432432,0.384615385,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",8500,75,3,3,5,200,800,10400
Bull Terrier,Dog,English Bull Terrier,United Kingdom,51-56 cm,18-32 kg,12-13 years,"Trainable, Protective, Sweet-Tempered, Keen, Active",A muscular terrier with distinctive egg-shaped head.,3,5,3,4,4,5,4,4,3,4.67,5,1,0,https://en.wikipedia.org/wiki/Bull_Terrier,3.8,4.2,88,86,1,1,0.75,0.75,0,1,0.75,0.5,0.675675676,0.846153846,Good,Excellent,Excellent,Excellent,Family Dog,Best for families with children; Well-suited for city living; Great for active owners,84,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,4,"Chicken, wheat, corn, dairy",3,High,"Small kibble, Easily digestible",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",5900,75,1.5,6,8,0,800,7400
Bull-Pei,Dog,,United States,43-51 cm,18-27 kg,8-12 years,"Loyal, Independent, Alert, Calm, Protective",A cross between Bull Terrier and Shar Pei.,2.6,3,2,2,2,4,3,2,4,2.33,2,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.7,2.9,53,47.8,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.4,0.648648649,0.346153846,Good,Moderate,Moderate,Moderate,Balanced / General Companion,Good as a guard or alert dog,80,Guard / Watch Dog,Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,High,Balanced,archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",5300,30,3.5,3,4,200,1200,7400
Bullador,Dog,,United States,51-61 cm,25-36 kg,10-12 years,"Friendly, Loyal, Energetic, Playful, Affectionate",A mix of Bulldog and Labrador Retriever.,2.4,4,4,4,4,4,3,4,4,4,4,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.6,3.1,72,69.2,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.35,0.351351351,0.423076923,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",7200,75,3.5,4.5,6.5,200,1200,9500
Bullboxer Pit,Dog,,United States,51-64 cm,23-36 kg,10-14 years,"Loyal, Energetic, Protective, Playful, Intelligent",A cross between Boxer and Pit Bull.,2,4,4,2,5,4,4,4,4,3.33,2,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.2,2.3,60,48,0.75,0.25,0.25,1,0.75,0.75,0.75,0.25,0.243243243,0.115384615,Moderate,Moderate,Good,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,4,"Wheat, corn, soy, chicken",3,Medium,"Balanced, Multiple small meals (bloat prevention)",archetype,archetype,Needs large open space; not ideal for small flats.,7000,120,3.5,4.5,7,200,800,8800
Bulldog,Dog,English Bulldog,United Kingdom,31-40 cm,18-25 kg,8-10 years,"Docile, Willful, Friendly, Gregarious",A medium-sized muscular dog with distinctive pushed-in nose.,3.4,5,4,2,2,5,4,2,3,3.67,5,4,0,https://en.wikipedia.org/wiki/Bulldog,3.7,3.3,89,62.2,0.75,1,0.25,0.25,0.75,1,0.25,0.6,0.648648649,0.5,Good,Good,Excellent,Good,Family Dog,Best for families with children,89,Family Dog,Family with young children,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children.",3,3,3,60,Temperate,5,"Chicken, Beef, Dairy, Wheat, Soy",3,High,"Limited ingredient, Hypoallergenic",archetype,archetype,"?? Brachycephalic (flat-faced) breed: Severe breathing difficulties, cannot tolerate heat or humidity, snoring, dental crowding. Prone to overheating - NEVER exercise in hot weather. Very high health issues: hip dysplasia, cherry eye, skin fold infections. Requires daily facial cleaning. Higher than average veterinary costs. Highly sensitive to food allergies. Not suitable for hot climates without air conditioning. Lifespan often shortened by health issues.",5100,30,1.5,6,7,0,800,6500
Bullmastiff,Dog,,United Kingdom,61-69 cm,45-59 kg,7-9 years,"Docile, Reliable, Devoted, Alert, Loyal",A large guard dog created by crossing Bulldog and Mastiff.,3,5,5,4,2,5,2,3,1,4.67,3,4,0,https://en.wikipedia.org/wiki/Bullmastiff,3.7,3,88,61,1,0.5,0.75,0.25,0.75,1,0.5,0.5,0.648648649,0.384615385,Good,Moderate,Excellent,Good,Family Dog,Best for families with children,88,Family Dog,Family with young children,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children.",3,3,3,60,Temperate,2,Minimal (Working breeds generally robust),3,Medium,"High-protein, Large-breed formula",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. ?? Guardian/protective breed: Requires experienced owner, early socialization, and consistent training. Can be territorial and protective of family. Liability insurance recommended. Not suitable for first-time dog owners. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",12300,30,1,6,7,0,2000,15700
Bullmatian,Dog,,United States,46-56 cm,18-30 kg,10-13 years,"Friendly, Energetic, Playful, Loyal, Alert",A mix of Bulldog and Dalmatian.,2.2,4,5,4,5,4,4,4,2,4.33,3,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.8,3.1,71,68.6,1,0.5,0.75,1,0.25,0.75,0.75,0.3,0.405405405,0.423076923,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,5700,120,3,6,8.5,200,800,7400
Bully Kutta,Dog,"Indian Mastiff, Pakistani Mastiff",India,78-91 cm,70-90 kg,8-12 years,"Dominant, Aggressive, Alert, Loyal, Protective","The Bully Kutta is a giant molosser-type dog from the Indian subcontinent. Originally bred for guarding and hunting, they are extremely powerful and require experienced handlers. Known for their strength and protective instincts.",2,3,2,1,4,1,3,4,3,2,1,3,0,https://en.wikipedia.org/wiki/Bully_Kutta,2.6,2.4,41,41,0.25,0,0,0.75,0.5,0.5,0.75,0.25,0.351351351,0.153846154,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,"Soy, corn",3,Medium,"Large-breed formula, Joint support, Controlled growth",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space.",18900,75,13,3,5,11000,1200,34200
Cairn Terrier,Dog,,United Kingdom,23-33 cm,6-8 kg,13-15 years,"Hardy, Fearless, Assertive, Gay, Intelligent","A small Scottish terrier, one of the oldest terrier breeds.",3.4,5,5,4,5,5,4,5,3,4.67,4,4,0,https://en.wikipedia.org/wiki/Cairn_Terrier,2.5,3.2,80,76.2,1,0.75,0.75,1,0.75,1,1,0.6,0.324324324,0.461538462,Moderate,Good,Excellent,Good,Family Dog,Best for families with children; Great for active owners,90,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,5,"Chicken, beef, dairy, wheat",3,Medium,"Limited ingredient, Hypoallergenic",archetype,archetype,Needs large open space; not ideal for small flats.,1700,120,1.5,6,8.5,0,800,2800
Canaan Dog,Dog,,Israel,48-61 cm,16-25 kg,12-15 years,"Alert, Devoted, Vigilant, Quick, Docile",An ancient Middle Eastern pariah dog.,3.2,4,2,3,4,5,5,4,4,3,2,3,0,https://en.wikipedia.org/wiki/Canaan_Dog,2.9,2.8,50,58.6,0.25,0.25,0.5,0.75,0.5,0.75,0.75,0.55,0.432432432,0.307692308,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",4800,75,2,4.5,6.5,0,500,5800
